compounds,name,maxFlux
cpd01170,Ergosterol,100
cpd01171,Dulcose,100
cpd01187,D-Gulitol,100
cpd01188,Lanosterol,100
cpd01200,Palatinose,100
cpd01202,Phloretate,100
cpd01217,Xanthosine,100
cpd01242,Thyminose,100
cpd01262,Amylotriose,100
cpd01293,5-Oxoproline,100
cpd01307,D-Lyxitol,100
cpd01311,Dethiobiotin,100
cpd01318,Glycocholate,100
cpd01329,Maltohexaose,100
cpd01354,beta-Lactose,100
cpd01363,3-Oxalomalate,100
cpd01376,Cellotetraose,100
cpd01394,Indolelactate,100
cpd01399,Maltotetraose,100
cpd01400,Phenylalanine,100
cpd01414,Tetrathionate,100
cpd01499,2-Methylbutanal,100
cpd01502,Citraconate,100
cpd01550,Phosphocreatine,100
cpd01553,Saligenin,100
cpd01570,"2',3'-Cyclic AMP",100
cpd01571,"2',3'-Cyclic CMP",100
cpd01572,"2',3'-Cyclic UMP",100
cpd01588,Epsilcapramine,100
cpd01618,"1,3-Propanediol",100
cpd01622,Trimetaphosphate,100
cpd01630,"cis,cis-Muconate",100
cpd01646,2-Isopropylmalate,100
cpd01663,Chenodeoxycholate,100
cpd01665,D-O-Phosphoserine,100
cpd01682,O-Acetylcarnitine,100
cpd01695,Myristoyl-CoA,100
cpd01701,S-Citramalate,100
cpd01716,3-Dehydroshikimate,100
cpd01727,Pimelate,100
cpd01741,Dodecanoic acid,100
cpd01757,N-Acetylmuramate,100
cpd01799,Isobutylamine,100
cpd01861,"(R)-1,2-Propanediol",100
cpd01908,Glycerol 2-phosphate,100
cpd01912,L-Fucose 1-phosphate,100
cpd01914,L-Methionine S-oxide,100
cpd01947,"(R,R)-2,3-butanediol",100
cpd01975,2-(4-Hydroxyphenyl)-propionate,100
cpd01981,5-Methylthio-D-ribose,100
cpd02012,N-Formyl-L-methionine,100
cpd02027,S-Methyl-L-methionine,100
cpd02090,Glycerophosphoglycerol,100
cpd02227,S-Ribosylhomocysteine,100
cpd02229,Bactoprenyl diphosphate,100
cpd02233,Ciliatine,100
cpd02298,1F-beta-D-Fructosylsucrose,100
cpd02305,HPL,100
cpd02333,Quinolinate,100
cpd02351,Glucosaminate,100
cpd02475,Lithocholate,100
cpd02557,Farnesylfarnesylgeraniol,100
cpd02591,pendp,100
cpd02605,2-isopropyl-3-oxosuccinate,100
cpd02693,3-Isopropylmalate,100
cpd02733,Deoxycholate,100
cpd02755,Fecosterol,100
cpd02829,"3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate",100
cpd02840,"3alpha,7alpha,12beta-Trihydroxy-5beta-cholanate",100
cpd02961,Dihydroneopterin,100
cpd02992,"N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)- N-acetyl-D-galactosaminyl-R",100
cpd03047,Taurocholate,100
cpd03048,Isethionate,100
cpd03091,5'-Deoxyadenosine,100
cpd03092,"3-Hexaprenyl-4,5-dihydroxybenzoate",100
cpd03161,Phenethylamine,100
cpd03198,Melibiose,100
cpd03221,Zymosterol,100
cpd03223,"5,7,22,24(28)-Ergostatetraenol",100
cpd03246,Taurochenodeoxycholate,100
cpd03247,Glycochenodeoxycholate,100
cpd03279,Deoxyinosine,100
cpd03287,Oxaloglutarate,100
cpd03331,(R)-phenyllactate,100
cpd03343,Phenylpropanoate,100
cpd03385,Fosfonet,100
cpd03422,Cobinamide,100
cpd03453,Enterobactin,100
cpd03454,3'-CMP,100
cpd03460,N-Carbamyl-L-glutamate,100
cpd03481,2-phenylethanol,100
cpd03535,Phosphoarginine,100
cpd03561,2-Hydroxybutyrate,100
cpd03586,kdo2-lipid iva,100
cpd03587,kdo2-lipid a,100
cpd03662,n-Butanol,100
cpd03696,Ursin,100
cpd03701,Gp,100
cpd03702,"2',3'-Cyclic GMP",100
cpd03734,Acetamide,100
cpd03778,Terephthalate,100
cpd03807,Lacto-N-tetraose,100
cpd03808,Lacto-N-biose,100
cpd03828,"2,3-Diaminopropionate",100
cpd03846,octanoate,100
cpd03847,Myristic acid,100
cpd03912,Phosphotyrosine,100
cpd03963,Biuret,100
cpd03971,Genistein,100
cpd04063,Clavaminate,100
cpd04065,Clavulanate,100
cpd04073,Vanillate,100
cpd04098,Arsenite,100
cpd04099,Phosphonate,100
cpd04136,p-Xylene,100
cpd04166,Tetrachloroethene,100
cpd04167,Trichloroethene,100
cpd04168,Dichloroethene,100
cpd04446,m-Xylene,100
cpd04533,Isoamyl alcohol,100
cpd04534,3-Methylbutanal,100
cpd04945,Ursodeoxycholate,100
cpd05190,Djenkolate,100
cpd05228,Skatole,100
cpd05235,tetracosanoate,100
cpd05262,galacturonate,100
cpd05267,Ribose,100
cpd06201,Sulfur dioxide,100
cpd07097,Daidzein,100
cpd07105,Daidzin,100
cpd07333,Dihydrocaffeic acid,100
cpd08021,Dimethyl sulfoxide,100
cpd08023,methanesulfonate,100
cpd08304,Dihydro-3-coumaric acid,100
cpd08305,crotonobetaine,100
cpd08374,alpha-Mannosylglycerate,100
cpd08928,L-Threonine phosphate,100
cpd09068,Isoamyl acetate,100
cpd09075,Phenethyl acetate,100
cpd09252,3-Coumaric acid,100
